ITEM CODE,ITEM DESCRIPTION,ITEM CLASSIFICATION,,UOM
423719,"0.45% SALINE, 1L",Reagents and Diagnostic kit,,Btl
 V1205,"0.45% SALINE, 500ML",Supplies,,Btl
 HS9903,1-SLIDE MAILER CARD 25'S,Supplies,,Pc
 HS15983A,2-PLACE SLIDE MAILER (ASSTD. COLORS) 25'S,Supplies,,Pc
 HS9904,2-SLIDE MAILER CARD 36'S,Supplies,,Pc
 OTH-0001,"3M MICROPORE 1""",Supplies,,Pc
 OTH-0042,A-RATE DRUG TEST 40T,Reagents and Diagnostic kit,,Kit
 MH-0357P,"A. BAUMANNI 19606, KWIK-STIK",Reagents and Diagnostic kit,,Set
 OTH-0002,ABBOT COVID-19 RAPID TEST 25T,Reagents and Diagnostic kit,,Kit
 OTH-0037,ABBOTT BIOLINE SYPHILIS 30'S,Reagents and Diagnostic kit,,Box
 OTH-0019,ABBOTT HBSAG 30T,Reagents and Diagnostic kit,,Kit
 MCTC-0019,AMMONIUM OXALATE 500ML,Supplies,,Btl
 MCTC-0001,ANTI D 10ML EPICLONE,Reagents and Diagnostic kit,,Vial
413401,AST-GN70 TEST KIT 20 CARDS,Reagents and Diagnostic kit,,Kit
413404,"AST-GN73 TEST KIT, 20 CARDS",Reagents and Diagnostic kit,,Kit
22226,"AST-GP67 TEST KIT, 20 CARDS",Reagents and Diagnostic kit,,Kit
410770,AST-GP72 TEST KIT 20CARDS,Reagents and Diagnostic kit,,Kit
413753,"AST-N261, 20 CARDS",Reagents and Diagnostic kit,,Kit
424692,AST-N449 TEST KIT CARDS,Reagents and Diagnostic kit,,Kit
421040,"AST-ST03 TEST KIT, 20 CARDS",Reagents and Diagnostic kit,,Kit
420739,AST-YS08 TEST KIT 20 CARDS,Reagents and Diagnostic kit,,Kit
 OTH-0030,AVR,Tools,,Pc
 ECG-101,BIOCARE DIGITAL ECG 1 CHANNEL,Equipment,,Unit
 BioPad,BIOCARE ECG PAD 210MMx140MM-140P,Supplies,,Pack
 BioPaper,BIOCARE ECG PAPER 80X20MM,Supplies,,Roll
 OTH-0003,BIOLINE HBSAG 100T (10X10T),Reagents and Diagnostic kit,,Kit
 5v238,BIOMEDICAL REFRIGERATOR,Equipment,,Unit
 BIO-00156,BIOSAFETY SAFETY CABINET CLASS ALL,Equipment,,Unit
 BBR-4V136,BLOOD BANK REFRIGERATOR,Equipment,,Unit
 MCTC-0002,BLOOD TYPING SERA A 10ML EPICLONE,Reagents and Diagnostic kit,,Vial
 MCTC-0003,BLOOD TYPING SERA A&B 10ML EPICLONE,Reagents and Diagnostic kit,,Set
 MCTC-0004,BLOOD TYPING SERA B 10ML EPICLONE,Reagents and Diagnostic kit,,Vial
 ME-BT,BLUE TIPS 500'S,Accessories,,Pack
 OTH-0004,BLUE TOP,Supplies,,Pack
