" ""Code""",Name,Classification,Tin,Address,Country,Mobile,Landline,Fax,Email,Website,Contact Person,Contact Role,Status
,PETTY CASH NAGA OFFICE,PETTY CASH,-,BRGY . 699 ERMITA MANILA,,,,,,,,,
,PETTY CASH MANILA OFFICE,PETTY CASH,-,,,,,,,,,,
,EGAS PHILLIPINES,FUEL,278-950-277,"MAHARLIKA HIGHWAY, CONCEPCION PEQUENA, NAGA CITY",,,,,,,,,
,ROBINSONS PLACE MANILA,FUEL,246-099-058,,,,,,,,,,
,OTHERS - PARKING FEE,PARKING FEE,-,,,,,,,,,,
,716 GAS STATION,FUEL,225-451-080,BRGY. SAN ISIDRO QUEZON CITY,,,,,,,,,
,OTHERS - BIDDING EXPENSE,BIDDING,-,,,,,,,,,,
,OMNIBUS BIO-MEDICAL SYSTEMS INC,LOCAL PURCHASES,201-687-994,,,,,,,,,,
,LABTRON TRADING,LOCAL PURCHASES,000-000-051,,,,,,,,,,
,AQUA CARES WATER REFILLING STATION,OFFICE EXPENSE,926-299-121,,,,,,,,,,
,HONG ENTERPRISE,OFFICE SUPPLIES,949-387-212,,,,,,,,,,
,RENKEL TRANSPORT SERVICES CORP,TRANSPORTATION,-,,,,,,,,,,
,OTHERS - TAX & LICENSES,LEGAL AND PROFESSIONAL FEES,-,,,,,,,,,,
,BICOL ISAROG TRANSPORT SYSTEM INC.,TRANSPORTATION,008-033-286,,,,,,,,,,
,GLOBE TELECOM INC,UTILITIES,000-768-480,BONIFACIO GLOBAL CITY TAGUIG CITY,,,,,,,,,
,OTHERS - LOAD ALLOWANCE,OFFICE EXPENSE,-,,,,,,,,,,
,PLDT INC,UTILITIES,000-488-793,,,,,,,,,,
,NEW MASTER SQUARE DEPARTMENT STORE,OFFICE SUPPLIES,102-704-836,,,,,,,,,,
,OTHERS - TRANSPORTATION,TRANSPORTATION,-,,,,,,,,,,
